id,chart_template_id:id,code,name,user_type_id:id,reconcile
tw_1311-00-00,l10n_tw_chart_template,1311-00-00,製成品,account.data_account_type_current_assets,TRUE
tw_1312-00-00,l10n_tw_chart_template,1312-00-00,副產品,account.data_account_type_current_assets,TRUE
tw_1313-00-00,l10n_tw_chart_template,1313-00-00,半成品,account.data_account_type_current_assets,TRUE
tw_1314-00-00,l10n_tw_chart_template,1314-00-00,在製品,account.data_account_type_current_assets,TRUE
tw_1315-00-00,l10n_tw_chart_template,1315-00-00,原料,account.data_account_type_current_assets,TRUE
tw_1316-00-00,l10n_tw_chart_template,1316-00-00,物料,account.data_account_type_current_assets,TRUE
tw_1318-00-00,l10n_tw_chart_template,1318-00-00,在途原物料,account.data_account_type_current_assets,TRUE
tw_1319-00-00,l10n_tw_chart_template,1319-00-00,備抵存貨跌價-製造,account.data_account_type_current_assets,TRUE
tw_1410-00-00,l10n_tw_chart_template,1410-00-00,預付款項,account.data_account_type_prepayments,TRUE
tw_1411-00-00,l10n_tw_chart_template,1411-00-00,預付薪資,account.data_account_type_prepayments,TRUE
tw_1412-00-00,l10n_tw_chart_template,1412-00-00,預付租金,account.data_account_type_prepayments,TRUE
tw_1414-00-00,l10n_tw_chart_template,1414-00-00,預付保險費,account.data_account_type_prepayments,TRUE
tw_1415-00-00,l10n_tw_chart_template,1415-00-00,用品盤存,account.data_account_type_current_assets,TRUE
tw_1416-00-00,l10n_tw_chart_template,1416-00-00,預付退休金-流動,account.data_account_type_current_assets,TRUE
tw_1419-00-00,l10n_tw_chart_template,1419-00-00,其它預付費用,account.data_account_type_prepayments,TRUE
tw_1419-01-00,l10n_tw_chart_template,1419-01-00,其他預付費用,account.data_account_type_prepayments,TRUE
tw_1421-00-00,l10n_tw_chart_template,1421-00-00,預付貨款,account.data_account_type_prepayments,TRUE
tw_1422-00-00,l10n_tw_chart_template,1422-00-00,預付投資款,account.data_account_type_prepayments,TRUE
tw_1423-00-00,l10n_tw_chart_template,1423-00-00,進項稅額,account.data_account_type_current_liabilities,FALSE
tw_1424-00-00,l10n_tw_chart_template,1424-00-00,留抵稅額,account.data_account_type_current_liabilities,FALSE
tw_1429-00-00,l10n_tw_chart_template,1429-00-00,其他預付款,account.data_account_type_prepayments,FALSE
tw_1450-00-00,l10n_tw_chart_template,1450-00-00,待分配予業主之非流動資產(或處分群組)淨額,account.data_account_type_non_current_assets,FALSE
tw_1451-00-00,l10n_tw_chart_template,1451-00-00,待分配予業主之非流動資產(或處分群組),account.data_account_type_non_current_assets,FALSE
tw_1452-00-00,l10n_tw_chart_template,1452-00-00,累計減損-待分配予業主之非流動資產(或處分群組),account.data_account_type_non_current_assets,FALSE
tw_1460-00-00,l10n_tw_chart_template,1460-00-00,待出售非流動資產(淨額),account.data_account_type_non_current_assets,FALSE
tw_1461-00-00,l10n_tw_chart_template,1461-00-00,待出售之非流動資產,account.data_account_type_non_current_assets,FALSE
tw_1462-00-00,l10n_tw_chart_template,1462-00-00,累計減損-待出售非流動資產,account.data_account_type_non_current_assets,FALSE
tw_1470-00-00,l10n_tw_chart_template,1470-00-00,其他流動資產,account.data_account_type_non_current_assets,FALSE
tw_1471-00-00,l10n_tw_chart_template,1471-00-00,暫付款,account.data_account_type_current_assets,FALSE
tw_1472-00-00,l10n_tw_chart_template,1472-00-00,代付款,account.data_account_type_current_assets,FALSE
tw_1472-01-00,l10n_tw_chart_template,1472-01-00,代付款-關係人,account.data_account_type_current_assets,FALSE
tw_1473-00-00,l10n_tw_chart_template,1473-00-00,員工借支,account.data_account_type_current_assets,FALSE
tw_1474-00-00,l10n_tw_chart_template,1474-00-00,遞延兌換損失,account.data_account_type_current_assets,FALSE
tw_1476-00-00,l10n_tw_chart_template,1476-00-00,其他金融資產-流動,account.data_account_type_current_assets,FALSE
tw_1477-00-00,l10n_tw_chart_template,1477-00-00,受限制資產,account.data_account_type_current_assets,FALSE
tw_1479-00-00,l10n_tw_chart_template,1479-00-00,其他流動資產-其他,account.data_account_type_current_assets,FALSE
tw_1510-00-00,l10n_tw_chart_template,1510-00-00,透過損益按公允價值衡量之金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_1511-00-00,l10n_tw_chart_template,1511-00-00,原始認列時指定為透過損益按公允價值衡量之金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_1512-00-00,l10n_tw_chart_template,1512-00-00,原始認列時指定為透過損益按公允價值衡量之金融資產評價調整-非流動,account.data_account_type_non_current_assets,FALSE
tw_1513-00-00,l10n_tw_chart_template,1513-00-00,強制按公允價值衡量之金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_1514-00-00,l10n_tw_chart_template,1514-00-00,強制按公允價值衡量之金融資產評價調整-非流動,account.data_account_type_non_current_assets,FALSE
tw_1515-00-00,l10n_tw_chart_template,1515-00-00,持有供交易之金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_1516-00-00,l10n_tw_chart_template,1516-00-00,持有供交易之金融資產評價調整-非流動,account.data_account_type_non_current_assets,FALSE
tw_1520-00-00,l10n_tw_chart_template,1520-00-00,透過其他綜合損益按公允價值衡量之金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_1521-00-00,l10n_tw_chart_template,1521-00-00,透過其他綜合損益按公允價值衡量之金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_1522-00-00,l10n_tw_chart_template,1522-00-00,透過其他綜合損益按公允價值衡量之金融資產評價調整-非流動,account.data_account_type_non_current_assets,FALSE
tw_1523-00-00,l10n_tw_chart_template,1523-00-00,備供出售金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_1524-00-00,l10n_tw_chart_template,1524-00-00,備供出售金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_1525-00-00,l10n_tw_chart_template,1525-00-00,備供出售金融資產評價調整-非流動,account.data_account_type_non_current_assets,FALSE
tw_1526-00-00,l10n_tw_chart_template,1526-00-00,累計減損-備供出售金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_1527-00-00,l10n_tw_chart_template,1527-00-00,持有至到期日金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_1528-00-00,l10n_tw_chart_template,1528-00-00,持有至到期日金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_1529-00-00,l10n_tw_chart_template,1529-00-00,累計減損-持有至到期日金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_1530-00-00,l10n_tw_chart_template,1530-00-00,避險之衍生金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_1540-00-00,l10n_tw_chart_template,1540-00-00,按攤銷後成本衡量之金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_1541-00-00,l10n_tw_chart_template,1541-00-00,按攤銷後成本衡量之金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_1542-00-00,l10n_tw_chart_template,1542-00-00,累計減損-按攤銷後成本衡量之金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_1543-00-00,l10n_tw_chart_template,1543-00-00,以成本衡量之金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_1544-00-00,l10n_tw_chart_template,1544-00-00,以成本衡量之金融資產-非流動,account.data_account_type_non_current_assets,FALSE
tw_1545-00-00,l10n_tw_chart_template,1545-00-00,累計減損-以成本衡量之金融資產-非流動,account.data_account_type_non_current_assets,FALSE
